# candidate_names, preds, decision_scores, anomaly_scores, areas, lambda_1
NDWFS_J143016.6+343937 1.0 0.06243477572822076 -0.43756522427177924 625.0 25.98798419815544
NDWFS_J143726.1+343519 1.0 0.02880060197208545 -0.47119939802791455 1550.0 28.714845607522975
NDWFS_J143119.9+340424 1.0 0.08229635959183351 -0.4177036404081665 1077.0 45.30510546907909
NDWFS_J143112.4+333313 1.0 0.05499407786310517 -0.4450059221368948 959.0 34.699624697946746
NDWFS_J142624.8+341514 1.0 0.06078614152703299 -0.439213858472967 1279.0 50.47331579147478
NDWFS_J143043.7+354054 1.0 0.06438572482518667 -0.4356142751748133 1326.0 51.0071201134099
NDWFS_J142811.2+350923 1.0 0.06931486881052235 -0.43068513118947765 1639.0 53.09009745595815
NDWFS_J143633.3+342431 1.0 0.037316220250618315 -0.4626837797493817 1233.0 33.537477539468824
NDWFS_J143644.3+344108 1.0 0.05601233296140079 -0.4439876670385992 1233.0 84.41841274165283
NDWFS_J143358.6+333624 1.0 0.08208355999267891 -0.4179164400073211 1155.0 44.94816589645599
NDWFS_J143701.6+343009 1.0 0.08531577931299622 -0.4146842206870038 1310.0 57.706912682153806
NDWFS_J143400.8+330039 1.0 0.04610662873916782 -0.4538933712608322 941.0 58.20597704860521
NDWFS_J143510.7+331816 1.0 0.01534621579159745 -0.48465378420840255 2732.0 206.37657243449283
NDWFS_J143112.8+354647 1.0 0.019383931167982482 -0.4806160688320175 1764.0 122.32959498872869
NDWFS_J142904.6+345151 1.0 0.06723178256922241 -0.4327682174307776 1184.0 28.56735985612436
NDWFS_J142650.1+332323 1.0 0.03280370929862081 -0.4671962907013792 1800.0 52.341150112542465
NDWFS_J143719.9+344910 1.0 0.06097997188484111 -0.4390200281151589 1844.0 99.72526245813592
NDWFS_J142701.8+323918 1.0 0.08265464180540444 -0.41734535819459556 1511.0 36.59156911131482
NDWFS_J142722.1+333024 -1.0 -0.032014114926374404 -0.5320141149263744 4500.0 164.75714773254754
NDWFS_J142824.7+340932 1.0 0.0724661368777107 -0.4275338631222893 693.0 25.5591768750906
NDWFS_J142732.5+345311 1.0 0.08881392083881479 -0.4111860791611852 1789.0 29.755531325853852
NDWFS_J142801.6+321833 1.0 0.004096165120661965 -0.49590383487933803 3913.0 193.3981585778551
NDWFS_J143345.0+333855 1.0 0.06346399990472312 -0.4365360000952769 1676.0 80.80634490872185
NDWFS_J143034.0+335334 1.0 0.05811331573575629 -0.4418866842642437 1293.0 37.16017256023163
NDWFS_J142724.3+325641 1.0 0.06518007360456607 -0.43481992639543393 778.0 25.467294630424465
NDWFS_J142814.5+354120 1.0 0.0804348565155365 -0.4195651434844635 1104.0 30.230588373814793
NDWFS_J142845.1+345607 1.0 0.06520410838823781 -0.4347958916117622 1000.0 25.443320754872673
NDWFS_J142733.2+341826 1.0 0.006817726578763228 -0.49318227342123677 655.0 27.425195957404146
NDWFS_J143626.6+351058 1.0 0.054298403600647804 -0.4457015963993522 1665.0 76.510934113982
NDWFS_J142510.7+322527 1.0 0.006755833643386444 -0.49324416635661356 2991.0 159.44058081402784
NDWFS_J142715.0+323355 1.0 0.061980230674132775 -0.4380197693258672 868.0 50.80402921033705
NDWFS_J142922.8+353739 1.0 0.05558145323506741 -0.4444185467649326 1532.0 62.87850294188537
NDWFS_J143029.9+324526 1.0 0.05267031857975052 -0.4473296814202495 3510.0 84.66369258083893
NDWFS_J143844.8+351332 1.0 0.05378357237567255 -0.44621642762432745 2337.0 73.471044561344
NDWFS_J142729.4+352450 1.0 0.06758345322500997 -0.43241654677499003 1545.0 56.052281366246206
NDWFS_J143046.3+335513 1.0 0.0673786540184021 -0.4326213459815979 669.0 35.30513061181137
NDWFS_J142721.3+331511 1.0 0.0565903074287446 -0.4434096925712554 1022.0 42.69538882128309
NDWFS_J143151.8+325426 1.0 0.06204871417655394 -0.43795128582344606 1393.0 54.0743858552507
NDWFS_J142740.0+353307 1.0 0.059093671206618625 -0.4409063287933814 1581.0 61.5313413525244
NDWFS_J142722.6+332837 -1.0 -0.004577437786608685 -0.5045774377866087 3607.0 307.20560777386345
NDWFS_J142447.6+324533 1.0 0.06972016557158611 -0.4302798344284139 907.0 64.54767405335713
NDWFS_J143556.9+350831 -1.0 -0.0291125068726813 -0.5291125068726813 4205.0 242.1926127750906
NDWFS_J142710.9+323618 1.0 0.033446735868838506 -0.4665532641311615 4114.0 186.0489962452988
NDWFS_J142601.7+353809 1.0 0.05883663808915568 -0.4411633619108443 1619.0 57.742309693237814
NDWFS_J143533.6+350509 1.0 0.04572373452590772 -0.4542762654740923 2009.0 51.56436181553477
NDWFS_J142845.5+332323 1.0 0.03319103200189466 -0.46680896799810534 3244.0 55.412705544567935
NDWFS_J143309.0+352532 1.0 0.0706914852821674 -0.4293085147178326 1251.0 39.3759109035625
NDWFS_J143426.9+340338 1.0 0.07379329394454853 -0.42620670605545147 1093.0 38.46605620366035
NDWFS_J142957.5+350059 1.0 0.07513227512199588 -0.4248677248780041 1060.0 32.516039068313745
NDWFS_J143609.2+342308 1.0 0.0663425523205663 -0.4336574476794337 1406.0 85.84812194882252
NDWFS_J143743.9+351425 1.0 0.08219332609000446 -0.41780667390999554 973.0 45.00268080063355
NDWFS_J142502.9+334545 1.0 0.061896322586642405 -0.4381036774133576 1543.0 34.9813729556472
NDWFS_J143201.4+345100 1.0 0.04712350918404251 -0.4528764908159575 748.0 32.68642319536588
NDWFS_J143729.9+334557 1.0 0.046782304994086754 -0.45321769500591325 1622.0 45.9211497307941
NDWFS_J143145.0+333958 1.0 0.058364841484991714 -0.4416351585150083 1575.0 44.70781214948633
NDWFS_J142752.2+325626 1.0 0.01791848544895297 -0.48208151455104703 3616.0 186.05251376121828
NDWFS_J143337.2+345631 1.0 0.05354582192480428 -0.4464541780751957 1154.0 31.41401840477831
NDWFS_J142540.7+341632 1.0 0.06161209379651322 -0.4383879062034868 1562.0 41.61914349684128
NDWFS_J143701.9+355041 1.0 0.06710309764603867 -0.43289690235396133 849.0 55.41327277595527
NDWFS_J143446.1+352130 1.0 0.0676953391626447 -0.4323046608373553 1510.0 87.92291274770926
NDWFS_J143313.7+335650 1.0 0.04240579882842799 -0.457594201171572 1133.0 29.690218633664937
NDWFS_J143611.2+353601 1.0 0.06947506834968559 -0.4305249316503144 1425.0 41.97790952102733
NDWFS_J143142.0+344626 1.0 0.051681224982256246 -0.44831877501774375 1525.0 45.50756249874457
NDWFS_J142755.8+351621 1.0 0.07336308697028004 -0.42663691302971996 951.0 42.3381566163573
NDWFS_J142727.1+352327 1.0 0.0702990798995945 -0.4297009201004055 792.0 28.794634340893655
NDWFS_J143213.8+354859 1.0 0.04619454799994216 -0.45380545200005784 1081.0 32.22956998062511
NDWFS_J143810.6+334552 1.0 0.06068132505771823 -0.4393186749422818 1728.0 48.96495823225456
NDWFS_J142624.7+341439 1.0 0.06572130272730742 -0.4342786972726926 992.0 44.43157907602847
NDWFS_J142944.0+344005 1.0 0.0681655148686357 -0.4318344851313643 608.0 26.049218376708055
