classifier,nsig,accuracy,f1,precision,recall,roc_auc
rf,1.25,0.8886684782608695,0.8890349674403701,0.8856603902274843,0.893070987654321,0.953217013888889
rf,1.26,0.8869953416149068,0.8874291033070774,0.8820519015435192,0.8938425925925925,0.9478478009259259
rf,1.27,0.8944654088050313,0.8949477980838267,0.8913869620564716,0.9007278481012657,0.9530954311708861
rf,1.28,0.8857176976355385,0.8866477291296192,0.8783311729131207,0.8964082278481011,0.950664056240987
rf,1.29,0.8859550108844635,0.8865449188031012,0.8818143552676118,0.8922914638104512,0.9505873072609173
rf,1.3,0.8837378053696687,0.8845813134620331,0.8773934431297775,0.893313859136644,0.9494471012617144
rf,1.31,0.8890086558876368,0.8900379268571099,0.8820628741399513,0.8992697176241482,0.9533271540209223
rf,1.32,0.8863465621427405,0.887058568431204,0.8796939423214456,0.895293735800065,0.9503220732529399
rf,1.33,0.886975338886167,0.8874459569490634,0.8847622253276419,0.89143135345667,0.9526201741026474
rf,1.34,0.8823860852523273,0.8813650393827729,0.8905077897329718,0.8734014930217462,0.9516191046862907
rf,1.35,0.8884615384615385,0.8895934031221637,0.8847459359411907,0.8961538461538462,0.949991781722551
rf,1.36,0.884321753515302,0.8835259505057349,0.8852272703731193,0.8829170829170829,0.9522412416643184
rf,1.37,0.8820595533498758,0.8815836162307008,0.886184984350089,0.8775224775224777,0.9531775916391302
rf,1.38,0.882258064516129,0.8816992350228381,0.8854600047838183,0.8796703296703295,0.9522586720638669
