# x, y, labels, names, probas
-2.1884835 14.394346 LAB NDWFS_J142813.0+331014 0.9799995422363281
12.298458 -5.019054 LAB NDWFS_J142751.0+331005 0.4050730764865875
-3.8002307 7.8855667 LAB NDWFS_J142756.7+331152 0.9556455612182617
-5.151117 7.70147 LAB NDWFS_J142803.6+331743 0.9654257893562317
7.429561 7.0115957 LAB NDWFS_J142757.1+325349 0.9606767296791077
-7.179315 -0.5942275 LAB NDWFS_J142752.6+325730 0.5599258542060852
-0.5539957 19.13132 LAB NDWFS_J142732.4+325737 0.940240204334259
-8.0653715 -11.336786 LAB NDWFS_J142825.3+325822 0.01004071719944477
-3.45574 15.978017 LAB NDWFS_J142734.8+325935 0.8527017831802368
5.3692427 0.0017060569 LAB NDWFS_J142820.6+330012 0.8829547762870789
-5.204709 11.003055 LAB NDWFS_J142806.7+330029 0.9624195098876953
2.6398473 -3.4309812 LAB NDWFS_J142825.1+330154 0.12313728034496307
-0.8297239 18.678694 LAB NDWFS_J142800.2+330408 0.49062442779541016
-5.4898252 6.4884796 LAB NDWFS_J142829.4+330235 0.8970820307731628
0.91703755 4.1378765 LAB NDWFS_J142948.9+332830 0.971230149269104
-4.1622286 3.5414743 LAB NDWFS_J142840.2+333007 0.8356454968452454
-2.8592205 15.376466 LAB NDWFS_J142923.2+335614 0.7934227585792542
5.729081 -3.1949644 LAB NDWFS_J142944.5+335630 0.42323145270347595
-1.5424287 3.0637715 LAB NDWFS_J142959.4+340133 0.974773108959198
9.335884 -5.3627896 LAB NDWFS_J142820.2+335423 0.8230490684509277
-2.7733805 11.383757 LAB NDWFS_J142854.2+340011 0.9794033169746399
4.3842983 -0.24159679 LAB NDWFS_J142742.4+335909 0.768028974533081
2.5611916 5.0164156 LAB NDWFS_J142741.9+340454 0.9821548461914062
-1.798576 3.985146 LAB NDWFS_J142842.8+334255 0.9653376936912537
-1.0691547 3.4124973 LAB NDWFS_J142838.0+334301 0.9791004061698914
-2.4203644 -1.7682676 LAB NDWFS_J142850.1+335044 0.2261485606431961
2.2381794 2.6016207 LAB NDWFS_J142800.6+334228 0.9647203087806702
-1.2644619 5.101669 LAB NDWFS_J142910.6+333144 0.9796240329742432
0.5683813 10.014905 LAB NDWFS_J142723.2+334023 0.959754467010498
-0.9058277 15.482318 LAB NDWFS_J142909.4+342542 0.8758231401443481
-1.894892 15.855276 LAB NDWFS_J142906.2+341128 0.9124897718429565
-2.4568448 14.3198185 LAB NDWFS_J142753.7+341204 0.8642522692680359
-1.7598315 9.42893 LAB NDWFS_J142735.3+342332 0.962691068649292
-0.5713078 5.4599457 LAB NDWFS_J142732.4+341213 0.9730053544044495
-0.56752396 12.517571 LAB NDWFS_J142755.6+340555 0.9810028076171875
1.6542773 1.0148757 LAB NDWFS_J142922.8+340457 0.9041440486907959
-3.3374312 9.079847 LAB NDWFS_J142942.6+343234 0.9567357301712036
0.66452926 8.486174 LAB NDWFS_J142842.7+343331 0.8638799786567688
11.4516945 -3.9990005 LAB NDWFS_J142831.1+343752 0.86179119348526
-3.0543754 8.8785715 LAB NDWFS_J142737.8+342955 0.9715141654014587
-3.0069516 8.3570175 LAB NDWFS_J142814.0+343918 0.9783458113670349
-2.4958506 9.540111 LAB NDWFS_J142930.5+341610 0.9628598093986511
-0.8888306 16.334885 LAB NDWFS_J142939.3+341753 0.8582414388656616
-4.299014 9.238562 LAB NDWFS_J142946.6+342406 0.9644635915756226
3.7719197 2.3181822 LAB NDWFS_J142859.5+342207 0.9557557702064514
-2.4835038 3.4759274 LAB NDWFS_J142911.3+342525 0.9692713022232056
5.603798 -1.7746888 LAB NDWFS_J142741.0+342041 0.8704108595848083
16.986141 -5.944531 LAB NDWFS_J142805.5+342232 0.147195965051651
-0.44558614 19.39403 LAB NDWFS_J142824.9+342711 0.7180544137954712
-2.0470588 9.334572 LAB NDWFS_J142928.9+341124 0.9757904410362244
-2.0959558 3.9386725 LAB NDWFS_J142939.8+341140 0.9731531143188477
-1.4490389 11.517125 LAB NDWFS_J142928.7+341350 0.9768993258476257
7.2267075 -2.937949 LAB NDWFS_J142958.9+341340 0.8327370285987854
0.40788642 1.2358928 LAB NDWFS_J142842.9+340646 0.9271451234817505
0.24989375 -3.6750581 LAB NDWFS_J142837.3+341236 0.2778869569301605
-2.046317 13.633408 LAB NDWFS_J142748.1+340704 0.9653383493423462
7.033066 -7.045572 LAB NDWFS_J142804.7+340804 0.21963021159172058
-4.0503798 7.9420404 LAB NDWFS_J142807.0+340852 0.9757996201515198
0.13136625 4.648235 LAB NDWFS_J142754.8+341511 0.9785054922103882
0.7806239 6.5443344 LAB NDWFS_J142952.0+343933 0.9708211421966553
14.027395 12.73168 LAB NDWFS_J142905.9+344042 0.987022340297699
-3.804196 13.437212 LAB NDWFS_J142737.3+343856 0.9479064345359802
-2.3874702 6.427971 LAB NDWFS_J143016.2+343318 0.9678914546966553
-3.0360513 12.268862 LAB NDWFS_J142820.0+344658 0.9654862284660339
2.6198459 15.525189 LAB NDWFS_J142927.9+345905 0.9741551876068115
-0.030115373 4.3752275 LAB NDWFS_J142746.4+344545 0.9698930382728577
-4.992885 8.472477 LAB NDWFS_J142802.7+350934 0.9645846486091614
